KANTONSNUM,name,lng,lat,zoom_level
1,Zürich,8.636184,47.42804,10.4
2,Bern,7.54827,46.83857,9.5
3,Luzern,8.1387,47.03795,10.4
4,Uri,8.594591,46.75215,10.5
5,Schwyz,8.711815,47.05515,11
6,Obwalden,8.264372,46.86958,11.4
7,Nidwalden,8.393482,46.89957,11.3
8,Glarus,9.053172,46.98741,10.8
9,Zug,8.542385,47.16544,12
10,Fribourg,7.050748,46.72398,10.3
11,Solothurn,7.617882,47.29212,10.7
12,Basel-Stadt,7.612288,47.55971,13.1
13,Basel-Landschaft,7.641518,47.46993,11.2
14,Schaffhausen,8.616669,47.67915,11.4
15,Appenzell Ausserrhoden,9.411655,47.35933,11.6
16,Appenzell Innerrhoden,9.45041,47.33626,11.7
17,St. Gallen,9.321657,47.20291,10.1
18,Graubünden,9.619363,46.61645,9.6
19,Aargau,8.113914,47.38445,10.5
20,Thurgau,9.055967,47.55507,10.9
21,Ticino,8.809843,46.22665,9.8
22,Vaud,6.645517,46.5856,9.8
23,Valais,7.716637,46.24847,9.8
24,Neuchâtel,6.732903,47.00929,11
25,Genève,6.115223,46.24681,11.5
26,Jura,7.139668,47.34135,10.8